"C.ID","reco1","reco2","reco3","target","match"
"FX36546","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Carryall",0
"FX365461","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Cooler",0
"GA71186","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Climber Backpack",0
"GA711861","Bear Edge","Bear Survival Edge","Bella","Inferno",0
"GD11927","Bear Edge","Bear Survival Edge","Bella","Polar Sun",0
"GD119271","Bear Edge","Bear Survival Edge","Bella","Seeker 50",0
"HC74532","Bear Edge","Bear Survival Edge","Bella","Bear Survival Edge",1
"HC745321","Bear Edge","Bella","Blue Steel Max Putter","Seeker Mini",0
"IH48064","Bear Edge","Bear Survival Edge","Bella","EverGlow Kerosene",0
"IH480641","Bear Edge","Bear Survival Edge","Bella","Granite Climbing Helmet",0
"JL93248","Bear Edge","Bear Survival Edge","Bella","Firefly Multi-light",0
"JL932481","Bear Edge","Bear Survival Edge","Bella","Max Gizmo",0
"JU19953","Bear Edge","Bear Survival Edge","Bella","Blue Steel Max Putter",0
"JU199531","Bear Edge","Bear Survival Edge","Bella","Mountain Man Digital",0
"JW70372","Bear Edge","Bear Survival Edge","Bella","EverGlow Single",0
"JW703721","Bear Edge","Bear Survival Edge","Bella","Maximus",0
"KL84615","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Cooler",0
"KL846151","Bear Edge","Bear Survival Edge","Bella","Sun Blocker",0
"KR50062","Bear Edge","Bear Survival Edge","Bella","BugShield Spray",0
"KR500621","Bear Edge","Bear Survival Edge","Bella","Single Edge",0
"KY39767","Bear Edge","Bear Survival Edge","Bella","Hailstorm Steel Irons",0
"KY397671","Bear Edge","Bear Survival Edge","Bella","TrailChef Double Flame",0
"LA34671","Bear Edge","Bear Survival Edge","Bella","Lux",0
"LA346711","Bear Edge","Bear Survival Edge","Bella","TrailChef Kettle",0
"LA66902","Bear Edge","Bear Survival Edge","Bella","Compact Relief Kit",0
"LA669021","Bear Edge","Bear Survival Edge","Bella","Granite Axe",0
"MA83261","Bear Edge","Bear Survival Edge","Bella","Firefly 2",0
"MA832611","Bear Edge","Bear Survival Edge","Bella","Inferno",0
"MN34012","Bear Edge","Bear Survival Edge","Bella","Granite Carabiner",0
"MN340121","Bear Edge","Bear Survival Edge","Bella","Star Gazer 2",0
"MV69686","Bear Edge","Bear Survival Edge","Bella","Hibernator Pillow",0
"MV696861","Bear Edge","Bear Survival Edge","Bella","Sun Shelter Stick",0
"MW80236","Bear Edge","Bear Survival Edge","Bella","Granite Hammer",0
"MW802361","Bear Edge","Bear Survival Edge","Bella","Mountain Man Analog",0
"OB21477","Bear Edge","Bear Survival Edge","Bella","Deluxe Family Relief Kit",0
"OB214771","Bear Edge","Bear Survival Edge","Bella","Mountain Man Combination",0
"OF47250","Bear Edge","Bear Survival Edge","Bella","Cat Eye",0
"OF472501","Bear Edge","Bear Survival Edge","Bella","Hibernator Pad",0
"OM55336","Bear Edge","Bear Survival Edge","Bella","Single Edge",0
"OM553361","Bear Edge","Bear Survival Edge","Bella","TrailChef Cook Set",0
"PG84165","Bear Edge","Bear Survival Edge","Bella","Legend",0
"PG841651","Bear Edge","Bear Survival Edge","Bella","TrailChef Deluxe Cook Set",0
"PS47550","Bear Edge","Bear Survival Edge","Bella","Calamine Relief",0
"PS475501","Bear Edge","Bear Survival Edge","Bella","Trail Star",0
"PW69692","Bear Edge","Bear Survival Edge","Bella","Course Pro Golf and Tee Set",0
"PW696921","Bear Edge","Bear Survival Edge","Bella","Max Gizmo",0
"QQ53360","Bear Edge","Bear Survival Edge","Bella","Lady Hailstorm Titanium Woods Set",0
"QQ533601","Bear Edge","Bear Survival Edge","Bella","Trail Master",0
"QX84402","Bear Edge","Bear Survival Edge","Bella","TrailChef Cook Set",0
"QX844021","Bear Edge","Bear Survival Edge","Bella","TrailChef Utensils",0
"RE67051","Bear Edge","Bear Survival Edge","Bella","Lux",0
"RE670511","Bear Edge","Bear Survival Edge","Bella","Maximus",0
"SC78905","Bear Edge","Bear Survival Edge","Bella","Dante",0
"SC789051","Bear Edge","Bear Survival Edge","Bella","Glacier GPS",0
"TJ51874","Bear Edge","Bear Survival Edge","Bella","Bella",1
"TJ518741","Bear Edge","Bear Survival Edge","Blue Steel Max Putter","Max Gizmo",0
"TX34322","Bear Edge","Bear Survival Edge","Bella","Hibernator Camp Cot",0
"TX343221","Bear Edge","Bear Survival Edge","Bella","Husky Harness Extreme",0
"TY43440","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Cooler",0
"TY434401","Bear Edge","Bear Survival Edge","Bella","EverGlow Lamp",0
"UL10037","Bear Edge","Bear Survival Edge","Bella","Inferno",0
"UL100371","Bear Edge","Bear Survival Edge","Bella","Infinity",0
"UO95739","Bear Edge","Bear Survival Edge","Bella","EverGlow Kerosene",0
"UO957391","Bear Edge","Bear Survival Edge","Bella","TrailChef Utensils",0
"VL97142","Bear Edge","Bear Survival Edge","Bella","BugShield Natural",0
"VL971421","Bear Edge","Bear Survival Edge","Bella","Husky Rope 100",0
"WG26617","Bear Edge","Bear Survival Edge","Bella","BugShield Spray",0
"WG266171","Bear Edge","Bear Survival Edge","Bella","Firefly Extreme",0
"WI14444","Bear Edge","Bear Survival Edge","Bella","Legend",0
"WI144441","Bear Edge","Bear Survival Edge","Bella","TrailChef Canteen",0
"WP58797","Bear Edge","Bear Survival Edge","Bella","Mountain Man Analog",0
"WP587971","Bear Edge","Bear Survival Edge","Bella","Trail Scout",0
"XA32915","Bear Edge","Bear Survival Edge","Bella","Sun Shelter Stick",0
"XA329151","Bear Edge","Bear Survival Edge","Bella","Zone",0
"XC32316","Bear Edge","Bear Survival Edge","Bella","Firefly Lite",0
"XC323161","Bear Edge","Bear Survival Edge","Bella","Granite Carabiner",0
"YI79084","Bear Edge","Bear Survival Edge","Bella","Cat Eye",0
"YI790841","Bear Edge","Bear Survival Edge","Bella","Hibernator Pillow",0
"YY27420","Bear Edge","Bear Survival Edge","Bella","Canyon Mule Weekender Backpack",0
"YY274201","Bear Edge","Bear Survival Edge","Bella","Infinity",0
"ZG10765","Bear Edge","Bear Survival Edge","Bella","BugShield Spray",0
"ZG107651","Bear Edge","Bear Survival Edge","Bella","EverGlow Single",0
